Feature ranking for target 'hips_position' based on KDE Conditional Probability Accuracy:
--------------------------------------------------------------------------------
  1. right_body_angle                         | Accuracy: 0.8746
  2. avg_body_angle                           | Accuracy: 0.8601
  3. left_body_angle                          | Accuracy: 0.8470
  4. left_wrist_shoulder_hip                  | Accuracy: 0.8274
  5. right_wrist_shoulder_hip                 | Accuracy: 0.7721
  6. left_hip_deviation_norm                  | Accuracy: 0.7700
  7. right_hip_deviation_norm                 | Accuracy: 0.7499
  8. body_alignment_angle                     | Accuracy: 0.7117
  9. right_knee_angle                         | Accuracy: 0.6803
 10. right_angle_elbow                        | Accuracy: 0.6735
 11. left_angle_elbow                         | Accuracy: 0.6715
 12. left_knee_angle                          | Accuracy: 0.6712
 13. avg_elbow_angle                          | Accuracy: 0.6707
 14. neck_angle                               | Accuracy: 0.6691
 15. elbow_symmetry                           | Accuracy: 0.6597
 16. delta_left_elbow_angle                   | Accuracy: 0.6582
 17. delta_right_elbow_angle                  | Accuracy: 0.6582
 18. avg_delta_elbow_angle                    | Accuracy: 0.6572
 19. delta_body_alignment_angle               | Accuracy: 0.6569
 20. nose_x                                   | Accuracy: 0.6564
 21. nose_y                                   | Accuracy: 0.6564
 22. nose_z                                   | Accuracy: 0.6564
 23. left_eye_inner_x                         | Accuracy: 0.6564
 24. left_eye_inner_y                         | Accuracy: 0.6564
 25. left_eye_inner_z                         | Accuracy: 0.6564
 26. left_eye_x                               | Accuracy: 0.6564
 27. left_eye_y                               | Accuracy: 0.6564
 28. left_eye_z                               | Accuracy: 0.6564
 29. left_eye_outer_x                         | Accuracy: 0.6564
 30. left_eye_outer_y                         | Accuracy: 0.6564
 31. left_eye_outer_z                         | Accuracy: 0.6564
 32. right_eye_inner_x                        | Accuracy: 0.6564
 33. right_eye_inner_y                        | Accuracy: 0.6564
 34. right_eye_inner_z                        | Accuracy: 0.6564
 35. right_eye_x                              | Accuracy: 0.6564
 36. right_eye_y                              | Accuracy: 0.6564
 37. right_eye_z                              | Accuracy: 0.6564
 38. right_eye_outer_x                        | Accuracy: 0.6564
 39. right_eye_outer_y                        | Accuracy: 0.6564
 40. right_eye_outer_z                        | Accuracy: 0.6564
 41. left_ear_x                               | Accuracy: 0.6564
 42. left_ear_y                               | Accuracy: 0.6564
 43. left_ear_z                               | Accuracy: 0.6564
 44. right_ear_x                              | Accuracy: 0.6564
 45. right_ear_y                              | Accuracy: 0.6564
