Feature ranking for target 'pushup_phase' based on KDE Conditional Probability Accuracy:
--------------------------------------------------------------------------------
  1. left_angle_elbow                         | Accuracy: 0.7542
  2. avg_elbow_angle                          | Accuracy: 0.7204
  3. left_arm_ratio                           | Accuracy: 0.6378
  4. left_shoulder_elbow_y_norm               | Accuracy: 0.6352
  5. right_angle_elbow                        | Accuracy: 0.6316
  6. right_arm_ratio                          | Accuracy: 0.6291
  7. right_shoulder_elbow_y_norm              | Accuracy: 0.6125
  8. delta_left_elbow_angle                   | Accuracy: 0.5763
  9. avg_body_angle                           | Accuracy: 0.5731
 10. left_body_angle                          | Accuracy: 0.5680
 11. right_body_angle                         | Accuracy: 0.5486
 12. left_wrist_shoulder_hip                  | Accuracy: 0.5485
 13. body_alignment_angle                     | Accuracy: 0.5457
 14. neck_angle                               | Accuracy: 0.5416
 15. right_wrist_visibility                   | Accuracy: 0.5361
 16. avg_delta_elbow_angle                    | Accuracy: 0.5361
 17. right_thumb_visibility                   | Accuracy: 0.5223
 18. right_wrist_shoulder_hip                 | Accuracy: 0.5220
 19. elbow_symmetry                           | Accuracy: 0.5216
 20. right_pinky_visibility                   | Accuracy: 0.5124
 21. left_knee_angle                          | Accuracy: 0.4948
 22. right_index_visibility                   | Accuracy: 0.4935
 23. delta_right_elbow_angle                  | Accuracy: 0.4923
 24. right_knee_angle                         | Accuracy: 0.4680
 25. left_thumb_visibility                    | Accuracy: 0.4629
 26. left_eye_outer_y                         | Accuracy: 0.4614
 27. right_ear_y                              | Accuracy: 0.4614
 28. left_ear_y                               | Accuracy: 0.4611
 29. left_eye_y                               | Accuracy: 0.4608
 30. left_eye_inner_y                         | Accuracy: 0.4599
 31. right_eye_y                              | Accuracy: 0.4596
 32. right_eye_outer_y                        | Accuracy: 0.4596
 33. mouth_right_y                            | Accuracy: 0.4596
 34. right_eye_inner_y                        | Accuracy: 0.4591
 35. mouth_left_y                             | Accuracy: 0.4583
 36. nose_y                                   | Accuracy: 0.4576
 37. right_ear_z                              | Accuracy: 0.4545
