Source: Offline Video - alon_test.mp4
Date & Time: 2026-07-07 12:36:30
==========================================================================================
Frame: 0001 | Phase: High            | Hip: Good            | Times(ms) -> MP: 49.4, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0002 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.5, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0003 | Phase: High            | Hip: Good            | Times(ms) -> MP: 49.9, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0004 | Phase: High            | Hip: Good            | Times(ms) -> MP: 44.7, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0005 | Phase: High            | Hip: Good            | Times(ms) -> MP: 44.9, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0006 | Phase: High            | Hip: Good            | Times(ms) -> MP: 44.3, Feat: 00.1, Predict: 02.3, States: 00.0
Frame: 0007 | Phase: High            | Hip: Good            | Times(ms) -> MP: 44.4, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0008 | Phase: High            | Hip: Good            | Times(ms) -> MP: 46.0, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0009 | Phase: High            | Hip: Good            | Times(ms) -> MP: 44.5, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0010 | Phase: High            | Hip: Good            | Times(ms) -> MP: 44.6, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0011 | Phase: High            | Hip: Good            | Times(ms) -> MP: 47.5, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0012 | Phase: High            | Hip: Good            | Times(ms) -> MP: 46.8, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0013 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.9, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0014 | Phase: High            | Hip: Good            | Times(ms) -> MP: 43.9, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0015 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.0, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0016 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.7, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0017 | Phase: High            | Hip: Too Low         | Times(ms) -> MP: 47.3, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0018 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 45.4, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0019 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 45.5, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0020 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 45.8, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0021 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 45.5, Feat: 00.1, Predict: 03.2, States: 00.0
Frame: 0022 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.8, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0023 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 44.9, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0024 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.5, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0025 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.0, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0026 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.6, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0027 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 46.6, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0028 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 50.0, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0029 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 44.7, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0030 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 47.0, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0031 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 46.0, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0032 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.6, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0033 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 47.6, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0034 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 46.1, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0035 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.1, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0036 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 45.2, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0037 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 45.0, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0038 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 44.8, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0039 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 48.1, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0040 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 47.8, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0041 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 46.2, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0042 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 46.2, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0043 | Phase: High            | Hip: Good            | Times(ms) -> MP: 47.0, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0044 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.7, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0045 | Phase: High            | Hip: Good            | Times(ms) -> MP: 47.6, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0046 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.7, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0047 | Phase: High            | Hip: Good            | Times(ms) -> MP: 45.7, Feat: 00.1, Predict: 02.8, States: 00.0
