Source: Live Camera
Date & Time: 2026-07-11 19:11:32
==========================================================================================
Frame: 0296 | Phase: None            | Hip: None            | Times(ms) -> MP: 24.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0297 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 137.5, Feat: 00.3, Predict: 05.5, States: 00.1
Frame: 0298 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 85.6, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0299 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 87.5, Feat: 00.1, Predict: 03.5, States: 00.0
Frame: 0300 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 82.3, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0301 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 97.6, Feat: 00.1, Predict: 05.5, States: 00.0
Frame: 0302 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 125.5, Feat: 00.1, Predict: 03.1, States: 00.1
Frame: 0303 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.2, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0304 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.7, Feat: 00.1, Predict: 05.9, States: 00.1
Frame: 0305 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 84.0, Feat: 00.2, Predict: 06.3, States: 00.0
Frame: 0306 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 85.6, Feat: 00.1, Predict: 03.8, States: 00.0
Frame: 0307 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.7, Feat: 00.1, Predict: 04.0, States: 00.0
Frame: 0308 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.6, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0309 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.7, Feat: 00.1, Predict: 04.3, States: 00.0
Frame: 0310 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.1, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0311 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.9, Feat: 00.1, Predict: 04.3, States: 00.0
Frame: 0312 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.1, Feat: 00.1, Predict: 04.9, States: 00.0
Frame: 0313 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.4, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0314 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.9, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0315 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.8, Feat: 00.1, Predict: 03.8, States: 00.0
Frame: 0316 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.9, Feat: 00.1, Predict: 03.7, States: 00.0
Frame: 0317 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.9, Feat: 00.1, Predict: 04.2, States: 00.0
Frame: 0318 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.6, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0319 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.4, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0320 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.8, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0321 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.6, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0322 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.2, Feat: 00.2, Predict: 04.4, States: 00.0
Frame: 0323 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 62.8, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0324 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.2, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0325 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 61.3, Feat: 00.1, Predict: 04.6, States: 00.0
Frame: 0326 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.6, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0327 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 60.6, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0328 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.0, Feat: 00.1, Predict: 04.4, States: 00.0
Frame: 0329 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.3, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0330 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.6, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0331 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.7, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0332 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.3, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0333 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.6, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0334 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.2, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0335 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.1, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0336 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.4, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0337 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.2, Feat: 00.1, Predict: 04.4, States: 00.0
Frame: 0338 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.7, Feat: 00.1, Predict: 03.5, States: 00.0
Frame: 0339 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.7, Feat: 00.2, Predict: 06.4, States: 00.0
Frame: 0340 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.3, Feat: 00.1, Predict: 04.4, States: 00.0
Frame: 0341 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.8, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0342 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.1, Feat: 00.1, Predict: 05.0, States: 00.0
Frame: 0343 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.7, Feat: 00.1, Predict: 04.0, States: 00.0
Frame: 0344 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.2, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0345 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.3, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0346 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.1, Predict: 05.7, States: 00.0
Frame: 0347 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.8, Feat: 00.1, Predict: 05.2, States: 00.0
Frame: 0348 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.6, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0349 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.4, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0350 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.7, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0351 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.5, Feat: 00.1, Predict: 03.2, States: 00.0
Frame: 0352 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.8, Feat: 00.1, Predict: 03.8, States: 00.0
Frame: 0353 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.4, Feat: 00.1, Predict: 03.8, States: 00.0
Frame: 0354 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 82.7, Feat: 00.1, Predict: 05.0, States: 00.0
Frame: 0355 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 84.1, Feat: 00.1, Predict: 04.4, States: 00.0
Frame: 0356 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.4, Feat: 00.1, Predict: 05.2, States: 00.0
Frame: 0357 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 83.4, Feat: 00.1, Predict: 05.3, States: 00.0
Frame: 0358 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.9, Feat: 00.1, Predict: 03.4, States: 00.0
Frame: 0359 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.5, Feat: 00.1, Predict: 04.4, States: 00.0
Frame: 0360 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.8, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0361 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 80.5, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0362 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.7, Feat: 00.1, Predict: 03.1, States: 00.0
Frame: 0363 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.7, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0364 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.5, Feat: 00.1, Predict: 05.4, States: 00.0
Frame: 0365 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.2, Feat: 00.1, Predict: 04.0, States: 00.0
Frame: 0366 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.0, Feat: 00.1, Predict: 03.2, States: 00.0
Frame: 0367 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.0, Feat: 00.1, Predict: 03.5, States: 00.0
Frame: 0368 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 87.2, Feat: 00.1, Predict: 05.0, States: 00.1
