Source: Live Camera
Date & Time: 2026-07-11 19:17:01
==========================================================================================
Frame: 0286 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 98.2, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0287 | Phase: Medium          | Hip: Too Low         | Times(ms) -> MP: 82.9, Feat: 00.1, Predict: 05.2, States: 00.0
Frame: 0288 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 67.9, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0289 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 65.7, Feat: 00.1, Predict: 03.4, States: 00.0
Frame: 0290 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 71.1, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0291 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 72.9, Feat: 00.1, Predict: 04.0, States: 00.0
Frame: 0292 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 71.8, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0293 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 76.8, Feat: 00.1, Predict: 03.7, States: 00.0
Frame: 0294 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 75.9, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0295 | Phase: Low             | Hip: Too Low         | Times(ms) -> MP: 65.0, Feat: 00.1, Predict: 03.2, States: 00.0
Frame: 0296 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 68.9, Feat: 00.1, Predict: 03.6, States: 00.0
Frame: 0297 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 68.2, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0298 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 66.1, Feat: 00.1, Predict: 02.9, States: 00.0
Frame: 0299 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.0, Feat: 00.1, Predict: 03.5, States: 00.0
Frame: 0300 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.7, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0301 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.9, Feat: 00.1, Predict: 03.2, States: 00.0
Frame: 0302 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.2, Feat: 00.1, Predict: 03.0, States: 00.0
Frame: 0303 | Phase: High            | Hip: Good            | Times(ms) -> MP: 80.5, Feat: 00.1, Predict: 03.9, States: 00.0
Frame: 0304 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.4, Feat: 00.1, Predict: 02.7, States: 00.1
Frame: 0305 | Phase: High            | Hip: Good            | Times(ms) -> MP: 78.6, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0306 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.1, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0307 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.1, Feat: 00.1, Predict: 03.4, States: 00.0
Frame: 0308 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.1, Feat: 00.1, Predict: 02.8, States: 00.0
Frame: 0309 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.3, Feat: 00.1, Predict: 04.5, States: 00.0
Frame: 0310 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.6, Feat: 00.1, Predict: 03.2, States: 00.0
Frame: 0311 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.5, Feat: 00.1, Predict: 03.5, States: 00.0
Frame: 0312 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.9, Feat: 00.1, Predict: 03.3, States: 00.0
Frame: 0313 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.5, Feat: 00.1, Predict: 03.6, States: 00.0
