Source: Offline Video - 11good.mp4
Date & Time: 2026-07-11 19:51:25
==========================================================================================
Frame: 0001 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.5, Feat: 00.5, Predict: 03.5, States: 00.0
Frame: 0002 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0003 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0004 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.6, Feat: 00.3, Predict: 03.6, States: 00.0
Frame: 0005 | Phase: High            | Hip: Good            | Times(ms) -> MP: 76.9, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0006 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 73.6, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0007 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.2, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0008 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.9, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0009 | Phase: High            | Hip: Good            | Times(ms) -> MP: 67.3, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0010 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 69.4, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0011 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 68.0, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0012 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 69.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0013 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 77.0, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0014 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 75.3, Feat: 00.3, Predict: 02.9, States: 00.0
Frame: 0015 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 82.1, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0016 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 70.9, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0017 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 79.9, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0018 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 126.5, Feat: 00.3, Predict: 06.0, States: 00.0
Frame: 0019 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 77.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0020 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 90.1, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0021 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 82.6, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0022 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 81.1, Feat: 00.2, Predict: 03.1, States: 00.1
Frame: 0023 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 67.8, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0024 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0025 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0026 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.6, Feat: 00.2, Predict: 03.3, States: 00.0
