Source: Offline Video - 9half_down.mp4
Date & Time: 2026-07-11 19:52:10
==========================================================================================
Frame: 0001 | Phase: High            | Hip: Too Low         | Times(ms) -> MP: 62.9, Feat: 00.3, Predict: 03.8, States: 00.0
Frame: 0002 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.6, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0003 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.3, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0004 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0005 | Phase: High            | Hip: Good            | Times(ms) -> MP: 76.9, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0006 | Phase: High            | Hip: Good            | Times(ms) -> MP: 85.0, Feat: 00.3, Predict: 03.2, States: 00.0
Frame: 0007 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.4, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0008 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.7, Feat: 00.3, Predict: 03.8, States: 00.0
Frame: 0009 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.2, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0010 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.6, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0011 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0012 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.0, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0013 | Phase: High            | Hip: Good            | Times(ms) -> MP: 86.2, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0014 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.1, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0015 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.4, Feat: 00.2, Predict: 02.8, States: 00.0
