Source: Offline Video - videoplayback.mp4
Date & Time: 2026-07-13 18:01:53
==========================================================================================
Frame: 0001 | Phase: High            | Hip: Good            | Times(ms) -> MP: 84.3, Feat: 00.6, Predict: 07.9, States: 00.0
Frame: 0002 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.7, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0003 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.6, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0004 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0005 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.0, Feat: 00.5, Predict: 04.1, States: 00.0
Frame: 0006 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0007 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.2, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0008 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.6, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0009 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0010 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.9, Feat: 00.2, Predict: 05.3, States: 00.0
Frame: 0011 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.9, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0012 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.7, Feat: 00.2, Predict: 04.4, States: 00.0
Frame: 0013 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.4, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0014 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.9, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0015 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.4, Feat: 00.5, Predict: 03.5, States: 00.0
Frame: 0016 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.0, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0017 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 73.1, Feat: 00.3, Predict: 03.8, States: 00.0
Frame: 0018 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 83.7, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0019 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.8, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0020 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.2, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0021 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.9, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0022 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.1, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0023 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0024 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 66.4, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0025 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 72.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0026 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 72.3, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0027 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 75.9, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0028 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.2, Predict: 04.8, States: 00.0
Frame: 0029 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 74.2, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0030 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 69.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0031 | Phase: High            | Hip: Good            | Times(ms) -> MP: 88.6, Feat: 00.3, Predict: 04.3, States: 00.0
Frame: 0032 | Phase: High            | Hip: Good            | Times(ms) -> MP: 78.5, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0033 | Phase: High            | Hip: Good            | Times(ms) -> MP: 85.5, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0034 | Phase: High            | Hip: Good            | Times(ms) -> MP: 80.9, Feat: 00.2, Predict: 05.0, States: 00.0
Frame: 0035 | Phase: High            | Hip: Good            | Times(ms) -> MP: 88.2, Feat: 00.4, Predict: 04.9, States: 00.0
Frame: 0036 | Phase: High            | Hip: Good            | Times(ms) -> MP: 88.3, Feat: 00.3, Predict: 05.8, States: 00.0
Frame: 0037 | Phase: High            | Hip: Good            | Times(ms) -> MP: 104.7, Feat: 00.5, Predict: 07.3, States: 00.0
Frame: 0038 | Phase: High            | Hip: Good            | Times(ms) -> MP: 85.7, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0039 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.1, Feat: 00.6, Predict: 05.5, States: 00.2
Frame: 0040 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 80.9, Feat: 00.4, Predict: 04.7, States: 00.0
Frame: 0041 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 90.9, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0042 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.7, Feat: 00.3, Predict: 03.5, States: 00.0
Frame: 0043 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 91.6, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0044 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 89.8, Feat: 00.4, Predict: 03.5, States: 00.0
Frame: 0045 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.5, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0046 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.1, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0047 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 86.1, Feat: 00.2, Predict: 04.4, States: 00.0
Frame: 0048 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.9, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0049 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.6, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0050 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.5, Feat: 00.4, Predict: 06.0, States: 00.0
Frame: 0051 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.0, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0052 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0053 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 85.7, Feat: 00.3, Predict: 03.3, States: 00.0
Frame: 0054 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.5, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0055 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 79.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0056 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0057 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.2, Feat: 00.2, Predict: 02.8, States: 00.0
