Source: Offline Video - long.mp4
Date & Time: 2026-07-13 18:07:59
==========================================================================================
Frame: 0001 | Phase: None            | Hip: None            | Times(ms) -> MP: 82.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0002 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0003 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0004 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0005 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0006 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0007 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0008 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0009 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0010 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0011 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0012 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0013 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0014 | Phase: None            | Hip: None            | Times(ms) -> MP: 23.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0015 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0016 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0017 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0018 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0019 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0020 | Phase: None            | Hip: None            | Times(ms) -> MP: 14.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0021 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0022 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0023 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0024 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0025 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0026 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0027 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0028 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0029 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0030 | Phase: None            | Hip: None            | Times(ms) -> MP: 14.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0031 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0032 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0033 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0034 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0035 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.6, Feat: 00.0, Predict: 00.0, States: 00.0
