Source: Live Camera
Date & Time: 2026-07-13 18:32:03
==========================================================================================
Frame: 0255 | Phase: High            | Hip: Good            | Times(ms) -> MP: 110.6, Feat: 00.4, Predict: 12.7, States: 00.0
Frame: 0256 | Phase: High            | Hip: Good            | Times(ms) -> MP: 76.6, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0257 | Phase: High            | Hip: Good            | Times(ms) -> MP: 75.1, Feat: 01.0, Predict: 04.7, States: 00.0
Frame: 0258 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0259 | Phase: High            | Hip: Good            | Times(ms) -> MP: 62.9, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0260 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.7, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0261 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.2, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0262 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0263 | Phase: High            | Hip: Good            | Times(ms) -> MP: 63.8, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0264 | Phase: High            | Hip: Good            | Times(ms) -> MP: 67.0, Feat: 00.2, Predict: 04.3, States: 00.0
Frame: 0265 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.6, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0266 | Phase: High            | Hip: Good            | Times(ms) -> MP: 60.9, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0267 | Phase: High            | Hip: Good            | Times(ms) -> MP: 62.5, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0268 | Phase: High            | Hip: Good            | Times(ms) -> MP: 60.0, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0269 | Phase: High            | Hip: Good            | Times(ms) -> MP: 62.3, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0270 | Phase: High            | Hip: Good            | Times(ms) -> MP: 62.0, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0271 | Phase: High            | Hip: Good            | Times(ms) -> MP: 60.8, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0272 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.9, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0273 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.6, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0274 | Phase: High            | Hip: Good            | Times(ms) -> MP: 60.2, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0275 | Phase: High            | Hip: Good            | Times(ms) -> MP: 61.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0276 | Phase: High            | Hip: Good            | Times(ms) -> MP: 61.6, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0277 | Phase: High            | Hip: Good            | Times(ms) -> MP: 61.7, Feat: 00.3, Predict: 03.1, States: 00.0
