Source: Live Camera
Date & Time: 2026-07-13 18:33:40
==========================================================================================
Frame: 0239 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.8, Feat: 00.3, Predict: 03.8, States: 00.0
Frame: 0240 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.6, Feat: 00.3, Predict: 03.3, States: 00.0
Frame: 0241 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0242 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0243 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.2, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0244 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.0, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0245 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.6, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0246 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.1, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0247 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.1, Feat: 00.3, Predict: 03.4, States: 00.0
Frame: 0248 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 61.0, Feat: 00.2, Predict: 04.4, States: 00.0
Frame: 0249 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.9, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0250 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0251 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.2, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0252 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0253 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0254 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.8, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0255 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 62.5, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0256 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.5, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0257 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 63.5, Feat: 00.3, Predict: 04.1, States: 00.0
Frame: 0258 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0259 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.5, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0260 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.1, Feat: 00.2, Predict: 04.7, States: 00.0
Frame: 0261 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.0, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0262 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.3, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0263 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.2, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0264 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.5, Feat: 00.2, Predict: 04.8, States: 00.0
Frame: 0265 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.9, Feat: 00.3, Predict: 03.5, States: 00.0
Frame: 0266 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0267 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0268 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.1, Feat: 00.2, Predict: 05.4, States: 00.0
Frame: 0269 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.4, Feat: 00.3, Predict: 04.6, States: 00.0
Frame: 0270 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 64.5, Feat: 00.2, Predict: 04.3, States: 00.0
Frame: 0271 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0272 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 67.8, Feat: 01.1, Predict: 04.3, States: 00.0
Frame: 0273 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.0, Feat: 00.3, Predict: 04.9, States: 00.0
Frame: 0274 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.4, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0275 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.5, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0276 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0277 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0278 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.7, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0279 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.0, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0280 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 100.7, Feat: 00.4, Predict: 06.6, States: 00.0
Frame: 0281 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.8, Feat: 00.2, Predict: 05.0, States: 00.0
Frame: 0282 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.3, Predict: 03.5, States: 00.0
Frame: 0283 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.1, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0284 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 76.7, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0285 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.6, Feat: 00.3, Predict: 04.3, States: 00.0
Frame: 0286 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 70.5, Feat: 00.3, Predict: 03.4, States: 00.0
Frame: 0287 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.2, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0288 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.9, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0289 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 65.1, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0290 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 71.9, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0291 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 66.4, Feat: 00.2, Predict: 04.8, States: 00.0
Frame: 0292 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 62.2, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0293 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 68.3, Feat: 00.4, Predict: 02.8, States: 00.0
Frame: 0294 | Phase: High            | Hip: Good            | Times(ms) -> MP: 63.6, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0295 | Phase: High            | Hip: Good            | Times(ms) -> MP: 62.3, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0296 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.9, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0297 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.7, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0298 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.7, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0299 | Phase: High            | Hip: Good            | Times(ms) -> MP: 63.9, Feat: 00.2, Predict: 04.3, States: 00.0
Frame: 0300 | Phase: High            | Hip: Good            | Times(ms) -> MP: 60.9, Feat: 00.2, Predict: 04.2, States: 00.0
Frame: 0301 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.0, Feat: 00.4, Predict: 04.5, States: 00.0
Frame: 0302 | Phase: High            | Hip: Good            | Times(ms) -> MP: 67.2, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0303 | Phase: High            | Hip: Good            | Times(ms) -> MP: 67.2, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0304 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.6, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0305 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.1, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0306 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0307 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.5, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0308 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.0, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0309 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0310 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.9, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0311 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0312 | Phase: High            | Hip: Good            | Times(ms) -> MP: 61.4, Feat: 00.3, Predict: 04.8, States: 00.0
Frame: 0313 | Phase: High            | Hip: Good            | Times(ms) -> MP: 61.9, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0314 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.2, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0315 | Phase: High            | Hip: Good            | Times(ms) -> MP: 60.7, Feat: 00.3, Predict: 04.2, States: 00.0
Frame: 0316 | Phase: High            | Hip: Good            | Times(ms) -> MP: 61.9, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0317 | Phase: High            | Hip: Good            | Times(ms) -> MP: 63.7, Feat: 00.3, Predict: 03.1, States: 00.0
Frame: 0318 | Phase: High            | Hip: Good            | Times(ms) -> MP: 63.7, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0319 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.4, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0320 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.7, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0321 | Phase: High            | Hip: Good            | Times(ms) -> MP: 67.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0322 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.3, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0323 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.0, Feat: 00.3, Predict: 04.2, States: 00.0
Frame: 0324 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.3, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0325 | Phase: High            | Hip: Good            | Times(ms) -> MP: 62.6, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0326 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.6, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0327 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.5, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0328 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.7, Feat: 00.3, Predict: 04.6, States: 00.0
Frame: 0329 | Phase: High            | Hip: Good            | Times(ms) -> MP: 67.4, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0330 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.4, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0331 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.3, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0332 | Phase: High            | Hip: Good            | Times(ms) -> MP: 71.8, Feat: 00.2, Predict: 04.6, States: 00.0
Frame: 0333 | Phase: High            | Hip: Good            | Times(ms) -> MP: 78.7, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0334 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.9, Feat: 00.3, Predict: 06.3, States: 00.0
Frame: 0335 | Phase: High            | Hip: Good            | Times(ms) -> MP: 97.6, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0336 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.3, Predict: 03.2, States: 00.0
Frame: 0337 | Phase: High            | Hip: Good            | Times(ms) -> MP: 66.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0338 | Phase: High            | Hip: Good            | Times(ms) -> MP: 64.8, Feat: 00.2, Predict: 04.6, States: 00.0
Frame: 0339 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.8, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0340 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0341 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.0, Feat: 00.2, Predict: 04.2, States: 00.0
