Source: Offline Video - alon_test.mp4
Date & Time: 2026-07-15 14:56:10
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784127335547 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 97.5, Feat: 00.5, Predict: 07.6, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784127335580 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 75.3, Feat: 00.3, Predict: 03.5, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784127335613 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 69.7, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784127335646 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 77.8, Feat: 00.3, Predict: 04.8, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784127335679 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 80.2, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784127335712 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 84.1, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784127335745 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 96.5, Feat: 00.2, Predict: 04.3, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784127335778 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 85.9, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784127335811 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 65.9, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784127335844 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 75.0, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784127335877 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 82.8, Feat: 00.3, Predict: 05.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784127335910 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 102.2, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784127335943 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 89.0, Feat: 00.3, Predict: 07.9, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784127335976 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 78.2, Feat: 00.3, Predict: 05.2, States: 00.0
Frame: 0015 | Processed: Yes  | TS(ms): 1784127336009 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 81.0, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784127336042 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 74.0, Feat: 00.4, Predict: 04.6, States: 00.1
Frame: 0017 | Processed: Yes  | TS(ms): 1784127336075 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 66.2, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784127336108 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 70.8, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0019 | Processed: Yes  | TS(ms): 1784127336141 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 77.1, Feat: 00.2, Predict: 03.5, States: 00.0
