Source: Offline Video - 11good.mp4
Date & Time: 2026-07-15 14:58:33
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784127490011 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 80.1, Feat: 00.4, Predict: 06.6, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784127490044 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 79.5, Feat: 00.2, Predict: 04.5, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784127490077 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 70.2, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784127490110 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 79.7, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784127490143 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 77.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784127490176 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 80.3, Feat: 00.2, Predict: 04.7, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784127490209 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 88.4, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784127490242 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 80.9, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784127490275 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 70.2, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784127490308 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 81.3, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784127490341 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 76.9, Feat: 00.3, Predict: 04.8, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784127490374 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 96.8, Feat: 00.3, Predict: 04.6, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784127490407 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 85.5, Feat: 00.4, Predict: 05.1, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784127490440 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 80.7, Feat: 00.5, Predict: 04.4, States: 00.0
Frame: 0015 | Processed: Yes  | TS(ms): 1784127490473 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 81.1, Feat: 00.3, Predict: 03.9, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784127490506 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 75.6, Feat: 00.7, Predict: 06.1, States: 00.0
Frame: 0017 | Processed: Yes  | TS(ms): 1784127490539 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 79.3, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784127490572 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 71.7, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0019 | Processed: Yes  | TS(ms): 1784127490605 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 67.5, Feat: 00.2, Predict: 03.9, States: 00.0
