Source: Offline Video - doron_test.mp4
Date & Time: 2026-07-16 06:35:14
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784183686247 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 69.2, Feat: 00.4, Predict: 07.9, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784183686280 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 51.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784183686313 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.8, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784183686346 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.9, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784183686379 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.5, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784183686412 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.6, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784183686445 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.4, Feat: 00.1, Predict: 02.5, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784183686478 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 44.8, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784183686511 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.0, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784183686544 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.1, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784183686577 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.0, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784183686610 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.5, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784183686643 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.1, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784183686676 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.9, Feat: 00.2, Predict: 02.3, States: 00.1
Frame: 0015 | Processed: Yes  | TS(ms): 1784183686709 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.0, Feat: 00.1, Predict: 02.4, States: 00.0
