Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-16 06:38:25
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784183870082 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 59.4, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784183870115 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 46.3, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784183870148 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.9, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784183870181 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.7, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784183870214 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.7, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784183870247 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.8, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784183870280 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.3, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784183870313 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.7, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784183870346 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.3, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784183870379 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.5, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784183870412 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.6, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784183870445 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 53.7, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784183870478 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 52.4, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784183870511 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 57.8, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0015 | Processed: Yes  | TS(ms): 1784183870544 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 51.3, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784183870577 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 50.9, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0017 | Processed: Yes  | TS(ms): 1784183870610 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 50.8, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784183870643 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 49.8, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0019 | Processed: Yes  | TS(ms): 1784183870676 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 51.6, Feat: 00.1, Predict: 03.4, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784183870709 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 50.0, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0021 | Processed: Yes  | TS(ms): 1784183870742 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 48.0, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784183870775 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.9, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0023 | Processed: Yes  | TS(ms): 1784183870808 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.4, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784183870841 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.0, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0025 | Processed: Yes  | TS(ms): 1784183870874 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.2, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784183870907 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.5, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0027 | Processed: Yes  | TS(ms): 1784183870940 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 44.4, Feat: 00.1, Predict: 02.4, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784183870973 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.8, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0029 | Processed: Yes  | TS(ms): 1784183871006 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.0, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1784183871039 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.6, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0031 | Processed: Yes  | TS(ms): 1784183871072 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.4, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0032 | Processed: Yes  | TS(ms): 1784183871105 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.1, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0033 | Processed: Yes  | TS(ms): 1784183871138 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.3, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0034 | Processed: Yes  | TS(ms): 1784183871171 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.3, Feat: 00.1, Predict: 02.6, States: 00.0
Frame: 0035 | Processed: Yes  | TS(ms): 1784183871204 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.4, Feat: 00.2, Predict: 02.2, States: 00.0
