Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-16 06:57:50
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784185041530 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 47.7, Feat: 00.5, Predict: 06.9, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784185041563 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 53.5, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784185041596 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.8, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784185041629 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.0, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784185041662 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.1, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784185041695 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 47.0, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784185041728 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.0, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784185041761 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.1, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784185041794 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.2, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784185041827 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 46.7, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784185041860 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.5, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784185041893 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.7, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784185041926 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 46.1, Feat: 00.2, Predict: 02.4, States: 00.0
