Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-16 07:01:44
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784185055324 | Delta: 0000 | Phase: High            | Hip: Too High        | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 47.8, Feat: 00.3, Predict: 02.4, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784185055357 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 47.0, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784185055390 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 45.7, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784185055423 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.7, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784185055456 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.2, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784185055489 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 46.6, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784185055522 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 46.1, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784185055555 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 44.7, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784185055588 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 53.5, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784185055621 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.5, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784185055654 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 45.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784185055687 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 50.0, Feat: 00.2, Predict: 02.2, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784185055720 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.7, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784185055753 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.9, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0015 | Processed: Yes  | TS(ms): 1784185055786 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.6, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784185055819 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.0, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0017 | Processed: Yes  | TS(ms): 1784185055852 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.2, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784185055885 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 44.5, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0019 | Processed: Yes  | TS(ms): 1784185055918 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.1, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784185055951 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 53.3, Feat: 00.3, Predict: 03.0, States: 00.0
Frame: 0021 | Processed: Yes  | TS(ms): 1784185055984 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 56.1, Feat: 00.2, Predict: 03.3, States: 00.0
