Source: Offline Video - Maximum Push-Ups in One Minute - International Book Of Records - International Book Of Records (1080p).mp4
Date & Time: 2026-07-16 07:46:48
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784186802913 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 69.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784186802953 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 26.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784186802993 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784186803033 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784186803073 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784186803113 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784186803153 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784186803193 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784186803233 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784186803273 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784186803313 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784186803353 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784186803393 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784186803433 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0015 | Processed: Yes  | TS(ms): 1784186803473 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784186803513 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0017 | Processed: Yes  | TS(ms): 1784186803553 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784186803593 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0019 | Processed: Yes  | TS(ms): 1784186803633 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784186803673 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0021 | Processed: Yes  | TS(ms): 1784186803713 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784186803753 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0023 | Processed: Yes  | TS(ms): 1784186803793 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784186803833 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0025 | Processed: Yes  | TS(ms): 1784186803873 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784186803913 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0027 | Processed: Yes  | TS(ms): 1784186803953 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784186803993 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0029 | Processed: Yes  | TS(ms): 1784186804033 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1784186804073 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0031 | Processed: Yes  | TS(ms): 1784186804113 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.8, Feat: 00.0, Predict: 00.0, States: 00.0
