Source: Offline Video - doron_test.mp4
Date & Time: 2026-07-16 08:32:15
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784186877506 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 91.3, Feat: 00.5, Predict: 04.1, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784186877539 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 48.7, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784186877572 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784186877605 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.3, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784186877638 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.3, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784186877671 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 47.6, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784186877704 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 47.2, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784186877737 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.8, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784186877770 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.8, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784186877803 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 60.1, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784186877836 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 64.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784186877869 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 59.2, Feat: 00.3, Predict: 04.4, States: 00.0
Frame: 0013 | Processed: Yes  | TS(ms): 1784186877902 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 63.2, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784186877935 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 65.3, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0015 | Processed: Yes  | TS(ms): 1784186877968 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 60.3, Feat: 00.3, Predict: 02.6, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784186878001 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 70.2, Feat: 00.3, Predict: 02.8, States: 00.0
Frame: 0017 | Processed: Yes  | TS(ms): 1784186878034 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 64.0, Feat: 00.3, Predict: 03.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784186878067 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.6, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0019 | Processed: Yes  | TS(ms): 1784186878100 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.7, Feat: 00.3, Predict: 02.8, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784186878133 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 53.3, Feat: 00.3, Predict: 02.6, States: 00.0
Frame: 0021 | Processed: Yes  | TS(ms): 1784186878166 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 54.0, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784186878199 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.3, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0023 | Processed: Yes  | TS(ms): 1784186878232 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.4, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784186878265 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 48.1, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0025 | Processed: Yes  | TS(ms): 1784186878298 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 55.0, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784186878331 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 60.0, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0027 | Processed: Yes  | TS(ms): 1784186878364 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 55.4, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784186878397 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.2, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0029 | Processed: Yes  | TS(ms): 1784186878430 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 49.0, Feat: 00.2, Predict: 02.3, States: 00.0
