Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 17:07:35
==========================================================================================
Frame: 0001 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.6, Predict: 03.7, States: 00.0
Frame: 0002 | Phase: High            | Hip: Good            | Times(ms) -> MP: 96.8, Feat: 00.1, Predict: 03.8, States: 00.0
Frame: 0003 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.1, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0004 | Phase: High            | Hip: Good            | Times(ms) -> MP: 65.4, Feat: 00.1, Predict: 02.7, States: 00.0
Frame: 0005 | Phase: High            | Hip: Good            | Times(ms) -> MP: 69.3, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0006 | Phase: High            | Hip: Good            | Times(ms) -> MP: 68.3, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0007 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0008 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.4, Feat: 00.3, Predict: 02.8, States: 00.0
Frame: 0009 | Phase: High            | Hip: Good            | Times(ms) -> MP: 78.9, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0010 | Phase: High            | Hip: Good            | Times(ms) -> MP: 89.5, Feat: 00.3, Predict: 03.2, States: 00.0
Frame: 0011 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0012 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.3, Feat: 00.4, Predict: 05.1, States: 00.0
Frame: 0013 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.7, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0014 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.9, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0015 | Phase: High            | Hip: Good            | Times(ms) -> MP: 82.7, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0016 | Phase: High            | Hip: Good            | Times(ms) -> MP: 77.9, Feat: 00.3, Predict: 03.3, States: 00.0
Frame: 0017 | Phase: High            | Hip: Good            | Times(ms) -> MP: 76.4, Feat: 00.3, Predict: 03.9, States: 00.0
Frame: 0018 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.1, Feat: 00.3, Predict: 03.5, States: 00.0
Frame: 0019 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.3, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0020 | Phase: High            | Hip: Good            | Times(ms) -> MP: 84.7, Feat: 00.2, Predict: 05.3, States: 00.0
