Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 18:23:49
==========================================================================================
Frame: 0002 | Processed: Yes  | TS(ms): 1784571782377 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 99.9, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784571782443 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 96.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784571782509 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 84.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784571782575 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 90.7, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784571782641 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 86.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784571782707 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 91.6, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784571782773 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 106.6, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784571782839 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 109.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784571782905 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 119.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784571782971 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 95.1, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784571783037 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 112.3, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784571783103 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 102.9, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784571783169 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 94.1, Feat: 00.7, Predict: 00.0, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784571783235 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 104.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1784571783301 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 107.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0032 | Processed: Yes  | TS(ms): 1784571783367 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 113.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0034 | Processed: Yes  | TS(ms): 1784571783433 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 113.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0036 | Processed: Yes  | TS(ms): 1784571783499 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 97.8, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0038 | Processed: Yes  | TS(ms): 1784571783565 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 96.7, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0040 | Processed: Yes  | TS(ms): 1784571783631 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 87.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0042 | Processed: Yes  | TS(ms): 1784571783697 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 87.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0044 | Processed: Yes  | TS(ms): 1784571783763 | Delta: 0000 | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 83.4, Feat: 00.2, Predict: 00.0, States: 00.0
