Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 18:35:15
==========================================================================================
Frame: 0002 | Processed: Yes  | TS(ms): 1784572466763 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 184.7, Feat: 01.8, Predict: 00.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784572466829 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 154.9, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784572466895 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 150.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784572466961 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 144.9, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784572467027 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 134.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784572467093 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 147.8, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784572467159 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 147.1, Feat: 00.7, Predict: 00.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784572467225 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 156.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784572467291 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 146.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784572467357 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 157.8, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784572467423 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 134.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784572467489 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 145.0, Feat: 00.7, Predict: 00.0, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784572467555 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 150.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784572467621 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 142.9, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1784572467687 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 153.0, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0032 | Processed: Yes  | TS(ms): 1784572467753 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 134.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0034 | Processed: Yes  | TS(ms): 1784572467819 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 125.8, Feat: 00.3, Predict: 00.0, States: 00.0
