Source: Live Camera
Date & Time: 2026-07-21 08:55:55
==========================================================================================
Frame: 0083 | Processed: Yes  | TS(ms): 1784624147293 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 108.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0084 | Processed: Yes  | TS(ms): 1784624147411 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 35.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0085 | Processed: Yes  | TS(ms): 1784624147551 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 18.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0086 | Processed: Yes  | TS(ms): 1784624147592 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 16.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0087 | Processed: Yes  | TS(ms): 1784624147693 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 15.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0088 | Processed: Yes  | TS(ms): 1784624147785 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 16.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0089 | Processed: Yes  | TS(ms): 1784624147884 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0090 | Processed: Yes  | TS(ms): 1784624147994 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0091 | Processed: Yes  | TS(ms): 1784624148090 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 08.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0092 | Processed: Yes  | TS(ms): 1784624148184 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 13.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0093 | Processed: Yes  | TS(ms): 1784624148280 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0094 | Processed: Yes  | TS(ms): 1784624148392 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 13.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0095 | Processed: Yes  | TS(ms): 1784624148486 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0096 | Processed: Yes  | TS(ms): 1784624148597 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 13.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0097 | Processed: Yes  | TS(ms): 1784624148683 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 15.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0098 | Processed: Yes  | TS(ms): 1784624148796 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0099 | Processed: Yes  | TS(ms): 1784624148887 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0100 | Processed: Yes  | TS(ms): 1784624148982 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 13.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0101 | Processed: Yes  | TS(ms): 1784624149080 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0102 | Processed: Yes  | TS(ms): 1784624149191 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 14.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0103 | Processed: Yes  | TS(ms): 1784624149288 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0104 | Processed: Yes  | TS(ms): 1784624149380 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0105 | Processed: Yes  | TS(ms): 1784624149479 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0106 | Processed: Yes  | TS(ms): 1784624149592 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 13.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0107 | Processed: Yes  | TS(ms): 1784624149689 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0108 | Processed: Yes  | TS(ms): 1784624149782 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0109 | Processed: Yes  | TS(ms): 1784624149876 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0110 | Processed: Yes  | TS(ms): 1784624149989 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0111 | Processed: Yes  | TS(ms): 1784624150088 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0112 | Processed: Yes  | TS(ms): 1784624150180 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 13.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0113 | Processed: Yes  | TS(ms): 1784624150274 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 14.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0114 | Processed: Yes  | TS(ms): 1784624150387 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 11.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0115 | Processed: Yes  | TS(ms): 1784624150483 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0116 | Processed: Yes  | TS(ms): 1784624150578 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0117 | Processed: Yes  | TS(ms): 1784624150673 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 14.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0118 | Processed: Yes  | TS(ms): 1784624150788 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 14.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0119 | Processed: Yes  | TS(ms): 1784624150882 | Delta: 0000 | Plank: WAITING [No Pose] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 12.0, Feat: 00.0, Predict: 00.0, States: 00.0
