Source: Live Camera
Date & Time: 2026-09-04 13:57:29
==========================================================================================
Frame: 0275 | Processed: Yes  | TS(ms): 1788530244800 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 86.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0276 | Processed: Yes  | TS(ms): 1788530244895 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 74.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0277 | Processed: Yes  | TS(ms): 1788530244977 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0278 | Processed: Yes  | TS(ms): 1788530245048 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 65.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0279 | Processed: Yes  | TS(ms): 1788530245118 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0280 | Processed: Yes  | TS(ms): 1788530245192 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 65.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0281 | Processed: Yes  | TS(ms): 1788530245262 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 65.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0282 | Processed: Yes  | TS(ms): 1788530245332 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.4, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0283 | Processed: Yes  | TS(ms): 1788530245403 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 65.0, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0284 | Processed: Yes  | TS(ms): 1788530245473 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 67.0, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0285 | Processed: Yes  | TS(ms): 1788530245546 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 64.7, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0286 | Processed: Yes  | TS(ms): 1788530245615 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.3, Feat: 00.7, Predict: 00.0, States: 00.0
Frame: 0287 | Processed: Yes  | TS(ms): 1788530245690 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 63.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0288 | Processed: Yes  | TS(ms): 1788530245759 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.4, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0289 | Processed: Yes  | TS(ms): 1788530245829 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 65.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0290 | Processed: Yes  | TS(ms): 1788530245899 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0291 | Processed: Yes  | TS(ms): 1788530245970 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 61.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0292 | Processed: Yes  | TS(ms): 1788530246035 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0293 | Processed: Yes  | TS(ms): 1788530246107 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.4, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0294 | Processed: Yes  | TS(ms): 1788530246178 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 64.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0295 | Processed: Yes  | TS(ms): 1788530246248 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0296 | Processed: Yes  | TS(ms): 1788530246321 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 62.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0297 | Processed: Yes  | TS(ms): 1788530246388 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.9, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0298 | Processed: Yes  | TS(ms): 1788530246462 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.7, Feat: 00.2, Predict: 00.0, States: 00.0
