Source: Offline Video - fast_10_pushup.mp4
Date & Time: 2026-07-20 12:10:01
==========================================================================================
Frame: 0002 | Processed: Yes  | TS(ms): 1784549389715 | Delta: 0000 | Phase: Low             | Hip: Too High        | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 44.4, Feat: 00.4, Predict: 03.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784549389781 | Delta: 0000 | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 45.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784549389847 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 55.3, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784549389913 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 49.5, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784549389979 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.1, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784549390045 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.0, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784549390111 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 44.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784549390177 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.0, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784549390243 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 51.2, Feat: 00.2, Predict: 02.4, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784549390309 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 44.6, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784549390375 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.0, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784549390441 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 44.6, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784549390507 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.6, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784549390573 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 48.1, Feat: 00.3, Predict: 03.4, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1784549390639 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 51.0, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0032 | Processed: Yes  | TS(ms): 1784549390705 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 49.6, Feat: 00.3, Predict: 03.3, States: 00.0
Frame: 0034 | Processed: Yes  | TS(ms): 1784549390771 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 60.5, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0036 | Processed: Yes  | TS(ms): 1784549390837 | Delta: 0000 | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.6, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0038 | Processed: Yes  | TS(ms): 1784549390903 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.4, Feat: 00.2, Predict: 02.9, States: 00.0
