frame_index,is_valid_frame,pushup_phase,hips_position,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,True,High,Good,0.19788464903831482,0.39942440390586853,-0.08273398876190186,0.9999427795410156,0.18570208549499512,0.3778219521045685,-0.11457277834415436,0.9998574256896973,0.1869749128818512,0.37153249979019165,-0.11480175703763962,0.9998711347579956,0.18807360529899597,0.3664167523384094,-0.1146237850189209,0.9998528957366943,0.1847778856754303,0.38011565804481506,-0.07598254084587097,0.9999321699142456,0.1854311227798462,0.376130074262619,-0.07650671154260635,0.9999580383300781,0.18610647320747375,0.37219053506851196,-0.07660991698503494,0.9999703168869019,0.1997148096561432,0.327440083026886,-0.1865299493074417,0.9998773336410522,0.19798296689987183,0.332968145608902,-0.01111429464071989,0.999955415725708,0.21448847651481628,0.39123770594596863,-0.09736381471157074,0.9995580315589905,0.21423903107643127,0.39498865604400635,-0.04930984973907471,0.9996994733810425,0.283205509185791,0.3410278856754303,-0.23436005413532257,0.9997765421867371,0.3118486702442169,0.3080371618270874,0.11777027696371078,0.9995377063751221,0.3164421319961548,0.5689314007759094,-0.261298805475235,0.9185440540313721,0.3513951897621155,0.5270125865936279,0.14327453076839447,0.017637671902775764,0.3114229440689087,0.793380618095398,-0.2101181149482727,0.8850671648979187,0.34754204750061035,0.7163482308387756,0.06109550595283508,0.07891430705785751,0.28006690740585327,0.8129420280456543,-0.24914930760860443,0.9116583466529846,0.3196869492530823,0.7147938013076782,0.051481567323207855,0.1219152957201004,0.27816805243492126,0.7975204586982727,-0.23179908096790314,0.9094828963279724,0.31672435998916626,0.7241953611373901,0.012918365187942982,0.1266493946313858,0.2904953956604004,0.7957813739776611,-0.20172524452209473,0.850263237953186,0.3272135257720947,0.7299529314041138,0.0407135933637619,0.11467976123094559,0.5309790968894958,0.45100709795951843,-0.10129328817129135,0.9998190999031067,0.5342158675193787,0.41584762930870056,0.10124532878398895,0.9997603297233582,0.6905530691146851,0.5588784217834473,0.005164558999240398,0.7524917125701904,0.6860328316688538,0.5260529518127441,0.17796750366687775,0.016965368762612343,0.8547991514205933,0.6071615219116211,0.06936377286911011,0.898619532585144,0.8360695838928223,0.5862871408462524,0.2661689519882202,0.08356287330389023,0.8940454721450806,0.6045010089874268,0.0684240534901619,0.9239256381988525,0.869758129119873,0.5837972164154053,0.27158403396606445,0.19069811701774597,0.8378740549087524,0.7244912385940552,-0.019778572022914886,0.9317999482154846,0.8246937990188599,0.6939040422439575,0.2071959525346756,0.3114486038684845
1,True,High,Good,0.19645550847053528,0.4141562283039093,-0.08021236211061478,0.9999663829803467,0.1840904951095581,0.3910139203071594,-0.11146938800811768,0.9999165534973145,0.18503043055534363,0.38577747344970703,-0.1117032840847969,0.9999239444732666,0.18605583906173706,0.38116881251335144,-0.11153165251016617,0.9999150037765503,0.18332767486572266,0.3937309980392456,-0.07271483540534973,0.999958872795105,0.18395835161209106,0.39061877131462097,-0.07323041558265686,0.9999732971191406,0.1846221387386322,0.3877331614494324,-0.07332407683134079,0.9999805688858032,0.19761526584625244,0.34259161353111267,-0.18086083233356476,0.9999279975891113,0.19573107361793518,0.3485260009765625,-0.004626343958079815,0.9999688863754272,0.21289017796516418,0.4057084023952484,-0.09392903000116348,0.9997298121452332,0.21297943592071533,0.40918493270874023,-0.04562250152230263,0.9998021721839905,0.28060978651046753,0.35711371898651123,-0.22813819348812103,0.9998469352722168,0.30810874700546265,0.3157733380794525,0.12614750862121582,0.9996362924575806,0.3195304870605469,0.5748862624168396,-0.25073304772377014,0.9131850004196167,0.352104127407074,0.5304430723190308,0.14879973232746124,0.014353757724165916,0.3117287755012512,0.7930740714073181,-0.19473770260810852,0.8744761347770691,0.3464338183403015,0.7147745490074158,0.05906211957335472,0.0707133412361145,0.27995508909225464,0.8100830316543579,-0.23211917281150818,0.9045421481132507,0.3175485134124756,0.713561475276947,0.04741944745182991,0.11551244556903839,0.27628815174102783,0.7962900400161743,-0.21564915776252747,0.9025989174842834,0.3145860433578491,0.7209153771400452,0.011244346387684345,0.11926031112670898,0.2885015308856964,0.794627845287323,-0.1862591952085495,0.8442794680595398,0.3250054717063904,0.726956844329834,0.03911880403757095,0.1097305566072464,0.5291361212730408,0.46293365955352783,-0.10057539492845535,0.9997794032096863,0.5335416793823242,0.42072901129722595,0.10052293539047241,0.9997138381004333,0.6947426795959473,0.5587443113327026,0.0074062044732272625,0.6882413029670715,0.6906812191009521,0.5290466547012329,0.1716606467962265,0.016559123992919922,0.8637336492538452,0.6101051568984985,0.07744193822145462,0.8376278281211853,0.8452379703521729,0.584528923034668,0.2659111022949219,0.06600204110145569,0.8977418541908264,0.6074603796005249,0.0774066373705864,0.8818267583847046,0.8803704380989075,0.5855655074119568,0.2721189856529236,0.15768858790397644,0.8372634649276733,0.7199151515960693,-0.005388038698583841,0.8847207427024841,0.8248724937438965,0.6954838037490845,0.2120175063610077,0.2381581962108612
2,True,Medium,Good,0.19827115535736084,0.4310151934623718,-0.07410670071840286,0.9999686479568481,0.18542689085006714,0.40838855504989624,-0.10371264815330505,0.9999244213104248,0.18609941005706787,0.4036271572113037,-0.10394897311925888,0.9999302625656128,0.18693339824676514,0.39919978380203247,-0.10378421097993851,0.9999232292175293,0.18480202555656433,0.4102831482887268,-0.06518503278493881,0.9999611377716064,0.18519318103790283,0.4076060354709625,-0.06569883227348328,0.9999740123748779,0.18570363521575928,0.4049132168292999,-0.06579408794641495,0.9999804496765137,0.19656890630722046,0.36125481128692627,-0.1682877093553543,0.9999358654022217,0.1947161853313446,0.3659931421279907,0.006664917804300785,0.9999674558639526,0.2146763801574707,0.4223187565803528,-0.08637645840644836,0.9997285008430481,0.21470215916633606,0.4245266616344452,-0.038430385291576385,0.9997921586036682,0.2770503759384155,0.37740570306777954,-0.218656986951828,0.9998617172241211,0.3031426668167114,0.32621264457702637,0.14010043442249298,0.9996483325958252,0.32228368520736694,0.5803204774856567,-0.24553616344928741,0.9148142337799072,0.35045126080513,0.5351614356040955,0.15643566846847534,0.012169156223535538,0.3115983307361603,0.7918179631233215,-0.18989261984825134,0.8779847621917725,0.34410959482192993,0.7157775163650513,0.054725948721170425,0.07867497205734253,0.2812325358390808,0.8108006715774536,-0.22540490329265594,0.9082036018371582,0.31749436259269714,0.7165608406066895,0.0418429858982563,0.13507330417633057,0.2768722176551819,0.7992188334465027,-0.20956717431545258,0.9064309597015381,0.3142377734184265,0.7247090339660645,0.007848154753446579,0.13768766820430756,0.28768453001976013,0.7956018447875977,-0.18124355375766754,0.8528593182563782,0.32330670952796936,0.7293806076049805,0.03521599620580673,0.12931951880455017,0.5279263257980347,0.4727848768234253,-0.10197214782238007,0.9998134970664978,0.530560314655304,0.4284362494945526,0.10189241915941238,0.9997584223747253,0.6971619129180908,0.5597290396690369,0.012222766876220703,0.7112607359886169,0.6888245940208435,0.5249329209327698,0.1705990582704544,0.02393927425146103,0.8615396618843079,0.6101021766662598,0.07696111500263214,0.8543488383293152,0.8390653133392334,0.58697509765625,0.2613369822502136,0.09267894178628922,0.8962871432304382,0.6029825806617737,0.07624353468418121,0.8823205828666687,0.8745983242988586,0.5803135633468628,0.26708611845970154,0.19687218964099884,0.835202693939209,0.7241795063018799,-0.005487081594765186,0.8887333273887634,0.8224642276763916,0.700190007686615,0.20994406938552856,0.27354103326797485
3,True,Medium,Good,0.19692745804786682,0.4509198069572449,-0.07053755223751068,0.9999597072601318,0.18342864513397217,0.42742061614990234,-0.10221368819475174,0.9999082088470459,0.18400710821151733,0.423066109418869,-0.10245935618877411,0.9999178647994995,0.1847464144229889,0.4190658926963806,-0.10229773074388504,0.9999102354049683,0.18289455771446228,0.4290061593055725,-0.06206497550010681,0.999950647354126,0.1832382082939148,0.4263514280319214,-0.06258074194192886,0.9999672174453735,0.18373382091522217,0.4238033890724182,-0.06268103420734406,0.9999750852584839,0.19383332133293152,0.3820992708206177,-0.17248356342315674,0.999929666519165,0.19275003671646118,0.38624173402786255,0.009859939105808735,0.99996018409729,0.21207863092422485,0.44327548146247864,-0.08459211885929108,0.9997017979621887,0.21238157153129578,0.44555914402008057,-0.03452165424823761,0.9997608065605164,0.27186113595962524,0.39025944471359253,-0.22494041919708252,0.9998779296875,0.2987203001976013,0.3391236960887909,0.14685013890266418,0.9996340274810791,0.3233662545681,0.5954057574272156,-0.25202155113220215,0.9308927655220032,0.3506960868835449,0.5396509766578674,0.1677752435207367,0.01256758812814951,0.30956655740737915,0.7913861274719238,-0.19620861113071442,0.9038921594619751,0.34144043922424316,0.7017951011657715,0.059803228825330734,0.07842615991830826,0.28129470348358154,0.8132020235061646,-0.23265768587589264,0.9256528615951538,0.3159146010875702,0.7044352293014526,0.04606035724282265,0.13651008903980255,0.2749173641204834,0.8022377490997314,-0.2170761078596115,0.9235889911651611,0.3129628300666809,0.7127803564071655,0.01233577448874712,0.13968892395496368,0.2861784100532532,0.7974164485931396,-0.18755868077278137,0.8761827945709229,0.3211045265197754,0.7165017127990723,0.040313370525836945,0.1291235089302063,0.5248827934265137,0.4775325059890747,-0.10671062767505646,0.9998083710670471,0.5257508158683777,0.4387282133102417,0.10664384812116623,0.9997336268424988,0.6943573355674744,0.564115583896637,0.010992017574608326,0.7452811002731323,0.6834351420402527,0.5318538546562195,0.1850147247314453,0.025249553844332695,0.8594135642051697,0.6076171398162842,0.08057919889688492,0.8772203922271729,0.8335844278335571,0.586211621761322,0.29002103209495544,0.09746914356946945,0.894127607345581,0.5999485850334167,0.08045662194490433,0.8968038558959961,0.8651005625724792,0.5790399312973022,0.2974032759666443,0.21454039216041565,0.8369275331497192,0.7230383157730103,-0.0019101015059277415,0.9057230949401855,0.8212710618972778,0.7014516592025757,0.2437305748462677,0.2904694676399231
4,True,Medium,Good,0.19263365864753723,0.4679902493953705,-0.07340829819440842,0.9999629259109497,0.17944172024726868,0.44832485914230347,-0.10657408833503723,0.999914288520813,0.17979973554611206,0.44361263513565063,-0.10680659115314484,0.9999233484268188,0.18005028367042542,0.43933603167533875,-0.10665121674537659,0.9999183416366577,0.17982205748558044,0.44994452595710754,-0.06443632394075394,0.9999538660049438,0.1807219386100769,0.44656452536582947,-0.06494291871786118,0.9999693632125854,0.1816364824771881,0.4430689215660095,-0.06504077464342117,0.9999768733978271,0.19118642807006836,0.4030802249908447,-0.1805683821439743,0.9999428987503052,0.19295445084571838,0.40698716044425964,0.010758261196315289,0.9999655485153198,0.20762333273887634,0.4620244801044464,-0.08879383653402328,0.9997795224189758,0.2084234654903412,0.4615941643714905,-0.03612290322780609,0.9998138546943665,0.2718760371208191,0.40526577830314636,-0.2300446629524231,0.9998855590820312,0.2919653654098511,0.3487139940261841,0.15200380980968475,0.9996848106384277,0.3247111439704895,0.6010705232620239,-0.2573316693305969,0.9216980338096619,0.34763556718826294,0.5451682806015015,0.17378289997577667,0.009221939370036125,0.3075004518032074,0.7978366613388062,-0.19809280335903168,0.8943068385124207,0.33788061141967773,0.7050926685333252,0.059434179216623306,0.061671074479818344,0.2764809727668762,0.8163071274757385,-0.2344937026500702,0.9201936721801758,0.31600862741470337,0.7066044211387634,0.04474693536758423,0.12096242606639862,0.2726629972457886,0.8047325611114502,-0.21806655824184418,0.9175704717636108,0.3125799894332886,0.7156105041503906,0.01198604516685009,0.12267889082431793,0.28386932611465454,0.8001120090484619,-0.1889137178659439,0.8642695546150208,0.31953442096710205,0.7212081551551819,0.04008754715323448,0.11547437310218811,0.5209545493125916,0.4884966015815735,-0.11006282269954681,0.9997689127922058,0.5230404734611511,0.44420599937438965,0.10998877882957458,0.9996892213821411,0.6891998052597046,0.5665523409843445,-0.006302434019744396,0.7495299577713013,0.6807981729507446,0.5364812612533569,0.18132199347019196,0.02649884857237339,0.8592642545700073,0.6087425947189331,0.057927437126636505,0.8989436626434326,0.8338557481765747,0.5882964134216309,0.2826937139034271,0.11769166588783264,0.8931463956832886,0.6010160446166992,0.057048410177230835,0.9101986289024353,0.8659335970878601,0.5792905688285828,0.289485901594162,0.2543618977069855,0.8383556604385376,0.7247400879859924,-0.03481123223900795,0.9258517026901245,0.8213321566581726,0.7025165557861328,0.22852522134780884,0.3464605212211609
5,True,Medium,Good,0.19016629457473755,0.4823620021343231,-0.06426467001438141,0.9999698400497437,0.17706343531608582,0.4629729390144348,-0.09888023138046265,0.9999330043792725,0.1772039532661438,0.45808982849121094,-0.09911488741636276,0.9999420642852783,0.1772845983505249,0.4537421762943268,-0.09896255284547806,0.9999384880065918,0.17751812934875488,0.4646530747413635,-0.05793030187487602,0.9999619722366333,0.17815205454826355,0.46108776330947876,-0.0584193579852581,0.9999747276306152,0.1787751019001007,0.4573594629764557,-0.058510974049568176,0.9999796152114868,0.18752464652061462,0.41633474826812744,-0.1796359270811081,0.9999641180038452,0.18879002332687378,0.4190312623977661,0.006668392103165388,0.9999730587005615,0.20543238520622253,0.4764445722103119,-0.08195699006319046,0.999873161315918,0.2063196897506714,0.47619765996932983,-0.03075011633336544,0.9998800754547119,0.2692899703979492,0.4107220768928528,-0.22753049433231354,0.9999411106109619,0.29090961813926697,0.3580804467201233,0.14162538945674896,0.9997486472129822,0.3271360397338867,0.6034889221191406,-0.256091833114624,0.9477971792221069,0.3560672700405121,0.5427916646003723,0.1677102893590927,0.006683445535600185,0.3091663420200348,0.7952668070793152,-0.20546968281269073,0.9400583505630493,0.34437477588653564,0.6974251866340637,0.06865790486335754,0.05385913327336311,0.2805817723274231,0.8117479085922241,-0.24043208360671997,0.9544922709465027,0.320610374212265,0.7065286636352539,0.05511914938688278,0.11877957731485367,0.27562272548675537,0.80251145362854,-0.22505736351013184,0.953281581401825,0.31862935423851013,0.7112534046173096,0.024871548637747765,0.12031715363264084,0.28644171357154846,0.7971905469894409,-0.19653920829296112,0.9201364517211914,0.3256572186946869,0.71540766954422,0.05063946545124054,0.11486904323101044,0.5202445983886719,0.4999973177909851,-0.10627289116382599,0.9998024106025696,0.522793173789978,0.451438307762146,0.10620652139186859,0.9997021555900574,0.6849997639656067,0.5762211084365845,-0.01585879921913147,0.781204342842102,0.6804831027984619,0.5380668044090271,0.17851291596889496,0.02936241775751114,0.8624449968338013,0.6106588840484619,0.03989209607243538,0.9134604930877686,0.8357812166213989,0.5845350027084351,0.256289005279541,0.13453690707683563,0.893638014793396,0.6064226627349854,0.03832891955971718,0.9202561974525452,0.8767040967941284,0.5826976299285889,0.2603699564933777,0.2798844873905182,0.8367576003074646,0.7215884923934937,-0.05352099984884262,0.9365501999855042,0.8186808228492737,0.696815013885498,0.1977512687444687,0.37607577443122864
6,True,Medium,Good,0.19072383642196655,0.49380627274513245,-0.062098708003759384,0.9999854564666748,0.17708593606948853,0.47479504346847534,-0.0964251458644867,0.9999682903289795,0.1771237850189209,0.46975114941596985,-0.0966530591249466,0.9999722242355347,0.17713379859924316,0.46504735946655273,-0.09650132805109024,0.9999697208404541,0.17762064933776855,0.47678929567337036,-0.05528409779071808,0.9999821186065674,0.1781863272190094,0.47340652346611023,-0.055766232311725616,0.9999880790710449,0.17870965600013733,0.46973490715026855,-0.05585135892033577,0.9999899864196777,0.18631300330162048,0.4277898669242859,-0.1754501909017563,0.9999836683273315,0.18740907311439514,0.4321082830429077,0.011403299868106842,0.9999873638153076,0.20548084378242493,0.4861272871494293,-0.07913580536842346,0.9999350309371948,0.2059476375579834,0.48629987239837646,-0.02772381342947483,0.999937891960144,0.26662755012512207,0.42888593673706055,-0.22094228863716125,0.9999573230743408,0.28564518690109253,0.36279743909835815,0.145929753780365,0.9998258948326111,0.32826781272888184,0.6107557415962219,-0.23869851231575012,0.9536130428314209,0.3549429774284363,0.542007327079773,0.16991564631462097,0.006663692649453878,0.30828720331192017,0.7951912879943848,-0.1709914207458496,0.9382471442222595,0.3386538028717041,0.6913514137268066,0.06678060442209244,0.061178870499134064,0.27886784076690674,0.8118811845779419,-0.20190143585205078,0.9530391693115234,0.31524282693862915,0.6936386823654175,0.0524846576154232,0.14122013747692108,0.2748643755912781,0.8009302020072937,-0.18727734684944153,0.9518263339996338,0.3134079873561859,0.7042500972747803,0.02457994595170021,0.14249612390995026,0.2859532833099365,0.7949936985969543,-0.16178135573863983,0.9217218160629272,0.32075434923171997,0.7087451219558716,0.04949653148651123,0.13917005062103271,0.5172280669212341,0.5098093152046204,-0.10516142100095749,0.9998088479042053,0.5196952223777771,0.45750850439071655,0.10509245097637177,0.9997240900993347,0.6874760389328003,0.5788743495941162,-0.006489603780210018,0.8322916030883789,0.6802414655685425,0.5384345054626465,0.18053831160068512,0.04299863800406456,0.8598306775093079,0.6089271306991577,0.05834555625915527,0.9283101558685303,0.8341774344444275,0.5853745937347412,0.26026347279548645,0.17478732764720917,0.8918427228927612,0.604354977607727,0.05816609039902687,0.9297130107879639,0.8737630844116211,0.5827480554580688,0.26481789350509644,0.3265230059623718,0.8364090323448181,0.7204939126968384,-0.02918994054198265,0.9459092617034912,0.8195636868476868,0.6955689787864685,0.20404084026813507,0.4366418719291687
7,True,Medium,Good,0.18968042731285095,0.5079946517944336,-0.05893894284963608,0.9999791383743286,0.1772180199623108,0.48786768317222595,-0.09130433946847916,0.9999511241912842,0.1772717535495758,0.48300036787986755,-0.09153402596712112,0.9999589920043945,0.17717790603637695,0.4783179759979248,-0.09139934182167053,0.999954104423523,0.1776164174079895,0.48962798714637756,-0.051007095724344254,0.9999732971191406,0.17816171050071716,0.4862324595451355,-0.051485344767570496,0.9999830722808838,0.17875447869300842,0.48268604278564453,-0.05156116560101509,0.9999854564666748,0.18483790755271912,0.4398036003112793,-0.16467009484767914,0.9999749660491943,0.18698349595069885,0.4455518126487732,0.018572786822915077,0.9999822378158569,0.2060823142528534,0.5002925395965576,-0.07436484098434448,0.9999051094055176,0.2071048617362976,0.5002861618995667,-0.02397077903151512,0.9999115467071533,0.26612764596939087,0.444508820772171,-0.2132357507944107,0.9999552965164185,0.28394830226898193,0.37469637393951416,0.15583103895187378,0.9998255372047424,0.3258911669254303,0.6092705130577087,-0.2509457767009735,0.9586145877838135,0.3545994758605957,0.5406572818756104,0.1811310201883316,0.008767617866396904,0.3092848062515259,0.7976642847061157,-0.2151317596435547,0.9614826440811157,0.3417406678199768,0.694137692451477,0.07833139598369598,0.1207408532500267,0.28164178133010864,0.8112332820892334,-0.25194233655929565,0.9717559218406677,0.3181660771369934,0.6991370320320129,0.06520387530326843,0.2501204013824463,0.2784724831581116,0.7997360825538635,-0.23528876900672913,0.9707706570625305,0.31591376662254333,0.7070794105529785,0.03393256664276123,0.2509382963180542,0.2889932692050934,0.795151948928833,-0.20631244778633118,0.9492990374565125,0.3242611885070801,0.7118263840675354,0.0599479041993618,0.23479729890823364,0.5123388767242432,0.5138589143753052,-0.10908043384552002,0.9998517036437988,0.5152599811553955,0.46144381165504456,0.10900662839412689,0.9997726082801819,0.6824593544006348,0.5803403258323669,-0.04021211713552475,0.8688808083534241,0.6753130555152893,0.5413058996200562,0.16106681525707245,0.04254007712006569,0.858958899974823,0.6106122732162476,-0.00592622347176075,0.9566767811775208,0.8308471441268921,0.5880751609802246,0.21746055781841278,0.20573803782463074,0.8891504406929016,0.6042373776435852,-0.009779317304491997,0.9594370722770691,0.8697258234024048,0.5830844044685364,0.21904762089252472,0.3832428455352783,0.8363593220710754,0.7198819518089294,-0.10470163822174072,0.9673925638198853,0.8196072578430176,0.7024374008178711,0.15112431347370148,0.4962882101535797
8,True,Medium,Good,0.18799465894699097,0.5160199999809265,-0.06123511493206024,0.999974250793457,0.1755470633506775,0.49785321950912476,-0.09513763338327408,0.9999376535415649,0.1755969524383545,0.49289509654045105,-0.09536503255367279,0.9999489784240723,0.17552652955055237,0.4881319999694824,-0.09523136168718338,0.9999406337738037,0.1757487654685974,0.49985551834106445,-0.05437150225043297,0.9999662637710571,0.17608991265296936,0.49666136503219604,-0.05484471842646599,0.9999793767929077,0.17644959688186646,0.4932363033294678,-0.05493734031915665,0.9999822378158569,0.1822909414768219,0.45022252202033997,-0.17120233178138733,0.9999731779098511,0.18371498584747314,0.4558219611644745,0.014034675434231758,0.9999817609786987,0.20418760180473328,0.5079750418663025,-0.07733102142810822,0.9999040365219116,0.2051454782485962,0.5081143379211426,-0.026351848617196083,0.9999121427536011,0.2650970220565796,0.45214807987213135,-0.2172584980726242,0.9999524354934692,0.27986204624176025,0.3850914537906647,0.15216265618801117,0.9998388290405273,0.32973212003707886,0.6166998744010925,-0.24140287935733795,0.9597266912460327,0.3509644865989685,0.5514382719993591,0.176193505525589,0.009460866451263428,0.3081771433353424,0.8031715154647827,-0.18279890716075897,0.9519733190536499,0.3370310664176941,0.7017368078231812,0.06954768300056458,0.1259867250919342,0.28008633852005005,0.8145891427993774,-0.21546374261379242,0.964870810508728,0.3134148418903351,0.7074435353279114,0.05535632744431496,0.2695296108722687,0.2762044370174408,0.8058184385299683,-0.198929563164711,0.9635331034660339,0.3110366463661194,0.7145246863365173,0.026680177077651024,0.2723430097103119,0.28729066252708435,0.8007057905197144,-0.17323169112205505,0.9395382404327393,0.31930142641067505,0.7188566327095032,0.052094366401433945,0.2580571472644806,0.5101303458213806,0.5167006254196167,-0.1091914027929306,0.9997584223747253,0.5123288631439209,0.46952611207962036,0.109123095870018,0.9996633529663086,0.6840929985046387,0.5844932794570923,-0.030459579080343246,0.8893438577651978,0.6774832010269165,0.5520054697990417,0.16770783066749573,0.04633661359548569,0.858259916305542,0.6063935160636902,0.01582290045917034,0.960121214389801,0.8283290266990662,0.5870606899261475,0.2387176752090454,0.2152959704399109,0.8921892642974854,0.6014853715896606,0.013896297663450241,0.9619632363319397,0.8658701181411743,0.5811430215835571,0.2424747496843338,0.4145941734313965,0.8399927020072937,0.7235274910926819,-0.07707192748785019,0.9699922204017639,0.8201777338981628,0.7002451419830322,0.17948348820209503,0.5177633762359619
9,True,Medium,Good,0.1897335946559906,0.5271638631820679,-0.0623246505856514,0.999985933303833,0.17701825499534607,0.5105722546577454,-0.09625007957220078,0.9999662637710571,0.17707741260528564,0.5052604675292969,-0.0964779481291771,0.9999728202819824,0.17697930335998535,0.49996447563171387,-0.09635043144226074,0.9999682903289795,0.17706939578056335,0.512498140335083,-0.054693836718797684,0.9999812841415405,0.1773080825805664,0.5093079209327698,-0.0551493763923645,0.9999884366989136,0.17749488353729248,0.505546510219574,-0.055234845727682114,0.9999896287918091,0.1836583912372589,0.45920512080192566,-0.1727084070444107,0.9999866485595703,0.1847950518131256,0.465415358543396,0.01622736267745495,0.9999896287918091,0.20625406503677368,0.517095685005188,-0.07864917814731598,0.9999492168426514,0.20698794722557068,0.5177171230316162,-0.02656828612089157,0.9999504089355469,0.26663222908973694,0.451599657535553,-0.2172100841999054,0.9999653100967407,0.28068482875823975,0.3895363509654999,0.15235796570777893,0.9998675584793091,0.3310791850090027,0.6212204098701477,-0.24618017673492432,0.9756487011909485,0.35205137729644775,0.5608954429626465,0.17429137229919434,0.00974614080041647,0.30761078000068665,0.8053362965583801,-0.19472284615039825,0.9738324284553528,0.3360747694969177,0.7037670612335205,0.06643147766590118,0.1378093808889389,0.2794686555862427,0.8176215887069702,-0.22876478731632233,0.9805625677108765,0.3136383593082428,0.7103435397148132,0.05174512788653374,0.3004397451877594,0.2745407223701477,0.8084701299667358,-0.21159692108631134,0.9798839092254639,0.31121188402175903,0.7188411355018616,0.022716844454407692,0.30477434396743774,0.28581318259239197,0.8025263547897339,-0.18516474962234497,0.9661138653755188,0.3182826340198517,0.7219239473342896,0.048688966780900955,0.29474368691444397,0.5100767612457275,0.5234541893005371,-0.10815881937742233,0.9997618794441223,0.5128589272499084,0.4733821451663971,0.10809407383203506,0.9996654987335205,0.6844794154167175,0.584383487701416,-0.025576377287507057,0.907272219657898,0.6802523732185364,0.5515287518501282,0.16477160155773163,0.05607704445719719,0.8568038940429688,0.6097931265830994,0.029490048065781593,0.9663553237915039,0.8318281173706055,0.5881780982017517,0.2284555733203888,0.2571910619735718,0.8953437209129333,0.6043392419815063,0.02843337692320347,0.970167338848114,0.871837317943573,0.5821917057037354,0.23124292492866516,0.4775356948375702,0.8367518186569214,0.7221643924713135,-0.061999935656785965,0.9748950004577637,0.8221002817153931,0.7027206420898438,0.16400153934955597,0.5774051547050476
